Date,URL,Title,Price($)
Aug 3,https://sfbay.craigslist.org/pen/for/d/atherton-werner-24-foot-aluminum/7170574935.html,Push lawn mower - 20 inch ,40
Aug 3,https://sfbay.craigslist.org/eby/tag/d/concord-10-stuffed-animals-bear-dog/7161805423.html,"Tiny Love Soothe 'n Groove Mobile, Blue ",35
Aug 3,https://sfbay.craigslist.org/sby/spo/d/sunnyvale-kite-surfboard-slingshot/7170570615.html,Light Wood Twin XL Bed ,200
Aug 3,https://sfbay.craigslist.org/eby/fuo/d/concord-set-of-3-custom-solid-wood/7168301478.html,Pair of PIONEER CS-88 speakers ,350
Aug 3,https://sfbay.craigslist.org/eby/clo/d/concord-used-total-16-lacoste-calvin/7169518379.html,Kipling Electric Blue Crossbody Handbag ,45
Aug 3,https://sfbay.craigslist.org/eby/pts/d/concord-land-rover-lr3-hse-6-disc-cd/7166962068.html,Ocean Kayak Ultra 4.7 + extras ,1000
Aug 3,https://sfbay.craigslist.org/sby/spo/d/cm-snowboard-and-bindings/7170574893.html,Classic Waterproof Duffel Bag (40 Liters) - Like New ,40
Aug 3,https://sfbay.craigslist.org/eby/sop/d/concord-hp-w19e-19-inch-widescreen-lcd/7170574885.html,CLEAN Twin Mattress ,175
Aug 3,https://sfbay.craigslist.org/eby/pts/d/concord-genuine-ford-oem-rh-right/7168301713.html,Poker Chips ,15
Aug 3,https://sfbay.craigslist.org/eby/clo/d/concord-used-medium-3-mens-shirts/7164184743.html,Kipling Lilac Crossbody Handbag ,45
Aug 3,https://sfbay.craigslist.org/sby/bab/d/hauck-malibu-stroller-high-end/7170574872.html,IRON GYM Pull Up Bar Door Frame ,35
Aug 3,https://sfbay.craigslist.org/pen/for/d/menlo-park-pro-8500-hp-officejet/7170574866.html,"LG Portable Stand 10,000 BTU Air Conditioner AC ",175
Aug 3,https://sfbay.craigslist.org/eby/wto/d/concord-brand-new-general-grabber-hts/7168302923.html,See-Thru Plastic Overnight Bag with Zipper Closure ,15
Aug 3,https://sfbay.craigslist.org/eby/for/d/concord-light-blue-replacement-seat-pad/7165809514.html,Lime Green Accent Lamp ,10
Aug 3,https://sfbay.craigslist.org/sby/spo/d/campbell-nice-148cm-snowboard-and/7170574855.html,BEKANT Right Corner Desk ,250
Aug 3,https://sfbay.craigslist.org/pen/fuo/d/san-mateo-lepower-clip-on-light-for/7168893947.html,Beautiful American classic sofa couch set with wood trim ,430
Aug 3,https://sfbay.craigslist.org/eby/wto/d/concord-new-continental-contitrac-lt275/7164160857.html,Klipsch R15 PC Speakers Setup ,220
Aug 3,https://sfbay.craigslist.org/pen/hab/d/san-mateo-spray-away-the-gray-loral/7168898387.html,Razer Orbweaver Stealth ,50
Aug 3,https://sfbay.craigslist.org/eby/for/d/vallejo-storage-totes/7170574829.html,"LG 29"" Ultrawide ",250
Aug 3,https://sfbay.craigslist.org/sby/spo/d/campbell-nike-full-golf-clubs-set-and/7170574823.html,yamaha waverunner seat ,60
Aug 3,https://sfbay.craigslist.org/eby/ele/d/concord-brand-new-tile-sticker-small/7168303516.html,Logitech G305 Wireless Gaming Mouse ,30
Aug 3,https://sfbay.craigslist.org/pen/fuo/d/palo-alto-ikea-bekant-desk-sit-stand/7170574812.html,Mechanical Keyboard ,40
Aug 3,https://sfbay.craigslist.org/eby/fuo/d/concord-custom-solid-wood-3-guest/7169519595.html,WYSIWYG Specimen Pink Green Chalice ,250
Aug 3,https://sfbay.craigslist.org/eby/fuo/d/oakland-recliner-lis-rec-st-american/7170574808.html,WYSIWYG Specimen Spicy Lemon Favia ,125
Aug 3,https://sfbay.craigslist.org/sby/spo/d/campbell-golf-club-chipper-wedge/7170574804.html,Ryzen 7 2700K GTX 1080 8GB 1TB M.2 Ready To Game ,1300
150 (sunset,https://sfbay.craigslist.org/eby/wto/d/concord-oem-x7-ford-crown-victoria/7169519494.html,/ parkside),150 (sunset / parkside)
Aug 3,https://sfbay.craigslist.org/pen/grd/d/palo-alto-largestylish-crescent-shaped/7170574767.html,Black Solid Wood Dresser with Gold Handles ,50
Aug 3,https://sfbay.craigslist.org/eby/pts/d/hayward-dodge-ram-pickup-factory-rear/7170574755.html,BEKANT Right Corner Desk ,250
Aug 3,https://sfbay.craigslist.org/pen/ele/d/palo-alto-top-qualitythin-6ft-sharp/7170574722.html,MTB V break ,5
Aug 3,https://sfbay.craigslist.org/sfc/fuo/d/san-francisco-ikea-55x39-framed-print/7170574643.html,GE washer top load washer and Amana Gas Dryer ,500
Aug 3,https://sfbay.craigslist.org/eby/spo/d/hayward-nice-judo-jiu-jitsu-gi/7170574628.html,Leica thumb support for M10 (black) ,165
Aug 3,https://sfbay.craigslist.org/pen/fuo/d/redwood-city-moving-sale-various-items/7170574625.html,SF HA 50 HEPA filter ,20
Aug 3,https://sfbay.craigslist.org/sfc/for/d/san-francisco-monopoly-spanish-version/7170574611.html,Voigtlander Nokton 35mm f1.2 III for Leica M mount ,880
Aug 3,https://sfbay.craigslist.org/eby/pts/d/hayward-dodge-ram-pickup-factory-rear/7170574590.html,Full Leesa Mattress ,150
Aug 3,https://sfbay.craigslist.org/sfc/clo/d/san-francisco-timberlake-womens-65-high/7170574572.html,Very Stylish+Premium Comfortable MCM Style Wood+Upholstered Chairs ,165
Aug 3,https://sfbay.craigslist.org/pen/clo/d/redwood-city-adidas-yeezy-zyon-105/7168933759.html,22' Skateboard for kid ,20
Aug 3,https://sfbay.craigslist.org/eby/spo/d/oakland-wilson-ceramic-midsize-tennis/7170574521.html,Exercise bike ,50
Aug 3,https://sfbay.craigslist.org/eby/mat/d/san-leandro-5-diameter-round-tubes-12ft/7170574516.html,Victor Edge Series Regulator - Nitrogen ,170
Aug 3,https://sfbay.craigslist.org/eby/for/d/union-city-utility-laundry-sink/7170574509.html,Sofa for sale ,165
Aug 3,https://sfbay.craigslist.org/eby/spo/d/oakland-shimano-xc90-bike-shoes-size-42/7170574495.html,Daniel Smart 3XL leather vest gun pockets ,75
Aug 3,https://sfbay.craigslist.org/sfc/grd/d/san-francisco-cheap-frags-starting-at-10/7161109643.html,IKEA Wall Clock (red) ,10
Aug 3,https://sfbay.craigslist.org/sfc/tag/d/san-francisco-longboarding-slide-gloves/7159587484.html,iPhone 6s 32 GB unlocked ,180
Aug 3,https://sfbay.craigslist.org/sfc/bpo/d/san-francisco-8-12-gps-chartplotter/7157604097.html,Wheel nut of honda CRV ,8
Aug 3,https://sfbay.craigslist.org/eby/spo/d/oakland-flyracing-maverick-motorcycle/7170574475.html,Acroprint Time Recorder ,60
Aug 3,https://sfbay.craigslist.org/eby/fuo/d/san-francisco-work-bench-with-polard/7170574449.html,Everet sump pump ,155
Aug 3,https://sfbay.craigslist.org/eby/bop/d/san-ramon-titec-carbon-fiber-v10-mt/7161923672.html,Everet sump pump ,90
Aug 3,https://sfbay.craigslist.org/scz/msg/d/santa-cruz-samick-malibu-model-mb-1-ts/7170574442.html,Non molting English Angora Fiber bunnies ,150
Aug 3,https://sfbay.craigslist.org/eby/ele/d/dublin-motorola-surfboard-sb6121-modem/7153617194.html,Unused Black Adjustable Stand up Desk (fits 2 monitors + keyboard) ,134
Aug 3,https://sfbay.craigslist.org/sfc/for/d/san-francisco-longboarding-slide-gloves/7170574428.html,"12"" hoppley unicycle for kids ",35
Aug 3,https://sfbay.craigslist.org/eby/msg/d/pleasanton-octave-mandolin-conversion/7170574420.html,Behringer HA400 4-Channel Stereo Headphone Amplifier ,15
Aug 3,https://sfbay.craigslist.org/pen/ele/d/palo-alto-msi-optix-32-curved-monitor/7170574422.html,Dyson ball vacuum DC39 Animal ,125
